SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
516030,YASH PAPERS ,X ,Q,75,75,71,72.15,72.15,73.2,426,76667,5573337,
516064,ARROWGREEN  ,B ,Q,400,405.6,391.5,394.15,395,402.6,128,45967,18236077,
516072,VISHNU CHEM ,T ,Q,336.25,340.75,327,328.95,328.95,339.5,32,1077,357338,
516078,JUMBO BAG   ,Z ,Q,14.3,15.6,14.25,15.55,15.55,14.9,8,700,10265,
516082,N.R.AGARWAL ,B ,Q,447.55,454.5,442.4,443.25,443,448.7,86,2201,984640,
516086,SH.RAJES.PAP,XT,Q,14.5,14.5,14.05,14.05,14.05,14.65,2,550,7885,
516092,PUDMJEE IND ,B ,Q,15,15,14,14,14,14.55,9,1650,23686,
516096,SANGAL PAPER,XT,Q,128.1,134.5,128.1,134.5,134.5,128.1,19,1023,135680,
516106,SH.KARTHIK P,X ,Q,18.4,18.4,17,17,17,17.85,79,47241,805015,
516108,S.I.PAPER   ,XT,Q,125,127,117.55,122.8,122.8,122.85,37,3175,388208,
516110,SCANDENT    ,XT,Q,19.4,19.4,18.75,19.4,19.4,18.5,5,600,11607,
517015,VINDHYA TELE,B ,Q,1112,1118.35,1099.05,1102.25,1105.95,1108.9,98,860,950275,
517035,RUTTONSHA IN,X ,Q,50.45,54,50.45,52.25,52.25,51.55,20,2957,158486,
517041,ADORWELDING ,B ,Q,445,454.8,422.45,428.25,428.6,433.45,122,2618,1145211,
517059,SALZER ELEC ,B ,Q,213.95,215.55,211.2,212.3,211.8,212.05,139,26798,5720029,
517063,JETINFOTRAN ,X ,Q,74.8,75,68.1,69.15,69.15,71.25,30,3941,280737,
517080,HIGHGROUND  ,B ,Q,11.51,11.51,11.13,11.2,11.23,11.51,65,23430,265698,
517119,PCS TECH    ,X ,Q,23.8,23.8,23.8,23.8,23.8,23.7,2,35,833,
517140,MOSER BEAR  ,T ,Q,4.4,4.5,4.25,4.3,4.3,4.42,103,107501,464587,
517146,USHA MART.LT,B ,Q,24,24.1,23.25,23.5,23.5,23.8,246,75751,1795972,
517164,ZENITH COMP.,XT,Q,1.95,1.95,1.95,1.95,1.95,1.98,2,515,1004,
517166,SPEL SEMICON,X ,Q,13.51,13.97,13.23,13.29,13.48,13.92,59,15310,204441,
517168,SUBROS LTD. ,B ,Q,354.9,356.85,338.95,341.7,341.7,350.5,503,13299,4588860,
517174,HONEYWELL   ,B ,Q,16485.75,17099.95,16138.2,17044.95,17000,16403.1,93,132,2184124,
517206,LUMAX IND   ,B ,Q,2279.6,2302.75,2275.05,2298.4,2300,2250.4,34,258,590468,
517214,SPICEMOBI   ,B ,Q,17.3,18.55,17.3,18.55,18.55,18,8,1929,35134,
517224,SUJANA INDUS,T ,Q,0.93,0.93,0.86,0.93,0.93,0.9,35,36403,31480,
517236,CALCOM VISIO,X ,Q,13.68,13.68,13.68,13.68,13.68,13.68,2,600,8208,
517238,DYNAVISION  ,XT,Q,73.15,77,73.15,74.05,74.05,77,11,584,43461,
517258,PRECISION EL,XT,Q,34.5,38.05,34.5,38.05,38.05,36.25,16,1371,52074,
517271,HBL P SYS   ,B ,Q,57,57.6,55.95,56.2,56.2,57.25,258,28933,1635901,
517288,GUJARATPOLY ,XT,Q,16.45,16.65,15.46,15.5,15.5,16.27,22,5373,87549,
517300,GUJ.IND.POW.,B ,Q,115.9,119,113.1,113.25,113.25,114.85,188,19247,2218559,
517330,CMI LTD.    ,B ,Q,259.55,275.95,251,251.9,251.9,256.35,281,10867,2801158,
517334,MOTHERSON SS,A ,Q,330.95,336,325,326.6,326.6,327.7,3644,227427,75221283,
517344,MINDTECK (I),B ,Q,71,71,66.7,67.25,67.4,67.85,66,2790,187426,
517354,HAVELLSINDIA,A ,Q,519,519.8,508.1,511.95,511.95,513.05,617,33859,17380424,
517356,ACI INFOCOM ,ST,Q,4.84,4.84,4.84,4.84,4.84,4.84,1,250,1210,
517370,INCAP LTD.  ,XT,Q,88.4,92,88.35,88.35,88.35,93,14,904,80105,
517372,GUJ.INTRUX  ,X ,Q,109.05,117,109.05,113.6,113.6,113.4,13,979,110558,
517380,IGARSHI MOT ,B ,Q,821.05,836.95,804.55,821.85,815.5,827.6,80,838,684869,
517385,SYMPHONY    ,A ,Q,1706,1820,1698,1787.05,1820,1688.6,784,6519,11468643,
517415,LEE&NEE SOFT,ST,Q,4.04,4.04,4.04,4.04,4.04,4.04,5,2600,10504,
517417,PATEL AIRTEM,X ,Q,179,183.55,179,179.15,179,181.1,25,594,106548,
517421,BFLYGANDHI  ,B ,Q,517,529.9,515.05,517.85,520,516.15,163,3409,1774512,
517429,ATHENAGLO   ,XT,Q,17,17,17,17,17,17,3,900,15300,
517437,DUTRON POLY.,XT,Q,123,127.95,122.75,122.75,122.75,129.2,12,267,32865,
517447,R.S.SOFTWARE,B ,Q,65,65.7,63.9,63.95,63.9,65.3,706,43191,2785883,
517449,MAGNA ELECTR,X ,Q,179.5,184,175,180.05,181.85,180.6,43,1307,233197,
517467,MARSONS     ,X ,Q,4.72,4.92,4.67,4.75,4.71,4.72,37,14224,68120,
517477,ELNET TECH. ,X ,Q,167.8,167.8,163,163.45,164,165.05,12,155,25513,
517481,APTL        ,X ,Q,6.38,6.38,6.38,6.38,6.38,6.71,15,4000,25520,
517498,WEBELSOLAR  ,B ,Q,92,93.2,90.15,90.9,90.9,91,512,113725,10428814,
517500,ROTO PUMPS  ,X ,Q,99.95,100.4,96.15,97,97,98.25,159,12157,1198287,
517506,TTK PRESTIGE,A ,Q,7068.05,7068.1,6976,6993.85,7000,6985.6,21,45,315307,
517514,DHINDIA     ,X ,Q,25.7,26,24.7,25,25,25.15,26,3436,86542,
517518,LEEL        ,B ,Q,270.05,274.4,265,265.95,265.95,268.55,496,24865,6695652,
517522,RAJ GLO WIR ,X ,Q,590,590,585,590,590,586.1,27,787,463642,
517530,SURANATP    ,B ,Q,5.4,5.5,5.25,5.5,5.3,5.26,21,20108,109959,
517536,ONWARD TECHN,B ,Q,98,113.9,98,111.05,111.05,96.75,2038,143354,15699873,
517544,CENTUM ELEC ,B ,Q,618.65,618.65,604.25,606.15,614.3,609.4,57,351,214343,
517546,ALFA TRANSFO,X ,Q,32,33,31.2,31.2,31.2,32,5,1600,51750,
517548,STARLITE COM,X ,Q,53.5,54.15,51.95,53.95,53.95,52.6,183,67004,3577137,
517554,NHCFOODS    ,X ,Q,15.99,16.6,15.3,15.87,15.87,15.77,197,72096,1119294,
517556,PVP VENT LTD,B ,Q,6.97,6.97,6.65,6.69,6.74,6.95,58,22276,150807,
517562,TRIGYN TECH ,B ,Q,150,150.75,145.1,145.6,145.6,149.05,187,14036,2063084,
